date,amount,category,description
20-07-2024,125.65,Income,Salary
10-09-2025,125.0,Income,Side hustle
19-07-2024,3000.0,Income,salary
05-08-2024,150.75,Expense,Groceries
12-08-2024,60.00,Expense,Electricity bill
15-08-2024,45.50,Expense,Internet bill
20-08-2024,3000.0,Income,Salary
22-08-2024,85.00,Expense,Restaurant
01-09-2024,120.00,Expense,Gas
03-09-2024,200.00,Expense,Clothes shopping
05-09-2024,300.00,Income,Freelance project
10-09-2024,150.00,Expense,Groceries
12-09-2024,75.00,Expense,Mobile phone bill
20-09-2024,3000.0,Income,Salary
25-09-2024,90.00,Expense,Entertainment
02-10-2024,180.00,Expense,Groceries
05-10-2024,250.00,Expense,Car maintenance
10-10-2024,150.00,Income,Side hustle
15-10-2024,70.00,Expense,Utilities
20-10-2024,3000.0,Income,Salary
25-10-2024,110.00,Expense,Restaurant
01-11-2024,125.00,Expense,Groceries
05-11-2024,250.00,Expense,Clothes shopping
10-11-2024,90.00,Expense,Mobile phone bill
20-11-2024,3000.0,Income,Salary
22-11-2024,200.00,Income,Freelance project
25-11-2024,80.00,Expense,Internet bill
01-12-2024,175.00,Expense,Groceries
05-12-2024,100.00,Expense,Restaurant
10-12-2024,95.00,Expense,Electricity bill
15-12-2024,60.00,Expense,Entertainment
20-12-2024,3000.0,Income,Salary
22-12-2024,400.00,Expense,Gift shopping
27-12-2024,180.00,Expense,Gas
05-01-2025,220.00,Expense,Groceries
10-01-2025,80.00,Expense,Mobile phone bill
15-01-2025,300.00,Income,Side hustle
20-01-2025,3000.0,Income,Salary
25-01-2025,120.00,Expense,Restaurant
10-10-2025,300.0,Income,Side Hustle
